hashtag,cleaned_tweet,date,subjectivity,polarity,sentiment_class,emotion_label,emotion_score,topic
#FuelShortage,  Kenyas fuel crisis in pictures FuelShortage MonitorUpdates via  ,2022-04-05,0.0,0.0,neutral,neutral,0.9964290261268616,1
#FuelShortage,  Video of the day  FuelShortage ,2022-04-05,0.0,0.0,neutral,neutral,0.9978333115577698,0
#FuelShortage,  Pale mesh unaweza promote business yako by selling online via  ama kupromote business ya another you,2022-04-05,0.18,-0.21,negative,neutral,0.9947920441627502,2
#FuelShortage,  Video of the day  FuelShortage ,2022-04-05,0.0,0.0,neutral,neutral,0.9978333115577698,0
#FuelShortage,  Who owns RUBiS Energy Just asking as a concerned patriotic citizen of this nation on behalf of all HUSTLERS   FuelSh,2022-04-05,0.0,0.0,neutral,neutral,0.9886881709098816,0
#FuelShortage,   What agenda are you left with now 1BBI issue closed 2Fertilizer done 3Fuel crisis solved  Sh3444b to,2022-04-05,0.05,-0.05,negative,curiosity,0.6654137372970581,1
#FuelShortage,  KE With all the crises were facing as a country sometimes you just have to smile courtesy of my Country people Kenyans are,2022-04-05,0.1,0.3,positive,optimism,0.6270188689231873,2
#FuelShortage,  Video of the day  FuelShortage ,2022-04-05,0.0,0.0,neutral,neutral,0.9978333115577698,0
#FuelShortage,  Todays customers are always on the move amp need fast reliable information from businesseservices they interact withIn,2022-04-05,0.6,0.2,positive,neutral,0.9552896022796631,0
#FuelShortage,  Video of the day  FuelShortage ,2022-04-05,0.0,0.0,neutral,neutral,0.9978333115577698,0
#FuelShortage,  Discussing Azimio discussing FuelShortage politics of the day the state of the economy for hustler nation and our most,2022-04-05,0.5,0.5,positive,neutral,0.9975080490112305,1
#FuelShortage,  DP Ruto Where is the Ksh 39B petroleum development fund meant for the fuel subsidy program Can the treasury confirm a,2022-04-05,0.0,0.0,neutral,neutral,0.5569009780883789,2
#FuelShortage,  Kenyans should brace for tough times ahead after Central Bank of Kenya CBK Governor Patrick Njoroge hinted that the f,2022-04-05,0.5416666666666667,-0.19444444444444445,negative,optimism,0.6539205312728882,0
#FuelShortage,  BREAKING Sh3444b to be released to oil marketers as fuel subsidy after Pres Uhuru Kenyatta signs Supplementary Approp,2022-04-05,0.0,0.0,neutral,neutral,0.9895127415657043,1
#FuelShortage,  hon Nigerian Legend FuelShortage ,2022-04-05,0.0,0.0,neutral,neutral,0.9779947400093079,0
#FuelShortage,  Care Rental Mngt software is not just for property owners It also provides an interface for tenants to pay rent communica,2022-04-05,0.0,0.0,neutral,neutral,0.9562504887580872,0
#FuelShortage,  Care Rental Mngt software is not just for property owners It also provides an interface for tenants to pay rent communica,2022-04-05,0.0,0.0,neutral,neutral,0.9562504887580872,0
